Cod_Tipo,Tipo,Cod_Concepto,Concepto,Cod_Cuenta,Cuenta,Cod_SubCuenta,SubCuenta,Cod_Auxiliar,Auxiliar
2,GASTOS,2.9,GASTOS FINANCIEROS,2.9.1,INTERESES DE LA DEUDA PÚBLICA INTERNA,2.9.1.2,Intereses de la deuda pública interna de largo plazo,2.9.1.2.02,Intereses de la deuda pública interna de largo plazo para recapitalización Bco. Central
2,GASTOS,2.9,GASTOS FINANCIEROS,2.9.2,INTERESES DE LA DEUDA PUBLICA EXTERNA,2.9.2.2,Intereses de la deuda pública externa de largo plazo,2.9.2.2.01,Intereses de la deuda pública externa de largo plazo
2,GASTOS,2.9,GASTOS FINANCIEROS,2.9.4,COMISIONES Y OTROS GASTOS BANCARIOS DE LA DEUDA PÚBLICA,2.9.4.1,Comisiones y otros gastos bancarios de la deuda pública interna,2.9.4.1.01,Comisiones y otros gastos bancarios de la deuda pública interna
2,GASTOS,2.9,GASTOS FINANCIEROS,2.9.4,COMISIONES Y OTROS GASTOS BANCARIOS DE LA DEUDA PÚBLICA,2.9.4.2,Comisiones y otros gastos bancarios de la deuda pública externa,2.9.4.2.01,Comisiones y otros gastos bancarios de la deuda pública externa
4,Aplicaciones financieras,4.1,Incremento de activos financieros,4.1.2,Incremento de activos financieros no corrientes,4.1.2.3,Compra de acciones y participaciones de capital con fines de liquidez,4.1.2.3.05,Compra de acciones y participaciones de capital de organismos e instituciones internacionales
4,Aplicaciones financieras,4.2,Disminución de pasivos,4.2.1,Disminución de pasivos corrientes,4.2.1.5,Amortización de la porción de corto plazo de la deuda pública en títulos valores de largo plazo,4.2.1.5.01,Amortización de la porción de corto plazo de la deuda pública interna en títulos valores de largo plazo
4,Aplicaciones financieras,4.2,Disminución de pasivos,4.2.1,Disminución de pasivos corrientes,4.2.1.5,Amortización de la porción de corto plazo de la deuda pública en títulos valores de largo plazo,4.2.1.5.02,Amortización de la porción de corto plazo de la deuda pública externa en títulos valores de largo plazo
4,Aplicaciones financieras,4.2,Disminución de pasivos,4.2.1,Disminución de pasivos corrientes,4.2.1.6,Amortización de la porción de corto plazo de la deuda pública en préstamos de largo plazo,4.2.1.6.01,Amortización de la porción de corto plazo de la deuda pública interna en préstamos de largo plazo
4,Aplicaciones financieras,4.2,Disminución de pasivos,4.2.1,Disminución de pasivos corrientes,4.2.1.6,Amortización de la porción de corto plazo de la deuda pública en préstamos de largo plazo,4.2.1.6.02,Amortización de la porción de corto plazo de la deuda pública externa en préstamos de  largo plazo
4,Aplicaciones financieras,4.5,Importes a devengar por descuentos en colocaciones de títulos valores,4.5.2,Descuentos por colocación de títulos valores internos y externo de largo plazo,4.5.2.1,Descuentos por colocación de títulos valores internos y externos de largo plazo bajo la par,4.5.2.1.02,Descuentos por colocación de títulos valores externos de largo plazo bajo la par a devengar
4,Aplicaciones financieras,4.5,Importes a devengar por descuentos en colocaciones de títulos valores,4.5.4,Intereses corridos internos y externos en compra de títulos valores de largo plazo,4.5.4.1,Intereses corridos en compra de títulos internos y externos de deuda a largo plazo,4.5.4.1.01,Intereses corridos en compra de títulos internos de deuda a largo plazo
4,Aplicaciones financieras,4.5,Importes a devengar por descuentos en colocaciones de títulos valores,4.5.4,Intereses corridos internos y externos en compra de títulos valores de largo plazo,4.5.4.1,Intereses corridos en compra de títulos internos y externos de deuda a largo plazo,4.5.4.1.02,Intereses corridos en compra de títulos externos de deuda a largo plazo
4,Aplicaciones financieras,4.6,Primas  en Recompra de Títulos y Valores,4.6.2,Primas en Recompra de Títulos Valores de Largo Plazo,4.6.2.1,Primas en Recompra de Títulos Valores Internos y Externos de Largo Plazo,4.6.2.1.01,Primas en Recompra de Títulos Valores Internos de Largo Plazo
