Cod_Capitulo,Capitulo,Cod_SubCapitulo,SubCapitulo,Cod_Unidad_Ejecutora,Unidad_Ejecutora
202,MINISTERIO DE  INTERIOR Y POLICÍA,1,MINISTERIO DE INTERIOR Y POLICIA,6,CUERPO DE BOMBEROS SANTO DOMINGO ESTE
202,MINISTERIO DE  INTERIOR Y POLICÍA,1,MINISTERIO DE INTERIOR Y POLICIA,7,CUERPO DE BOMBEROS DE SANTO DOMINGO DE BOCA CHICA
202,MINISTERIO DE  INTERIOR Y POLICÍA,1,MINISTERIO DE INTERIOR Y POLICIA,8,CUERPO DE BOMBEROS DE SANTO DOMINGO DE LOS ALCARRIZOS
202,MINISTERIO DE  INTERIOR Y POLICÍA,1,MINISTERIO DE INTERIOR Y POLICIA,9,CUERPO DE BOMBEROS DE SANTO DOMINGO DE PEDRO BRAND
202,MINISTERIO DE  INTERIOR Y POLICÍA,1,MINISTERIO DE INTERIOR Y POLICIA,10,CUERPO DE BOMBEROS DE SANTO DOMINGO OESTE
202,MINISTERIO DE  INTERIOR Y POLICÍA,2,POLICIA NACIONAL,1,POLICIA NACIONAL
202,MINISTERIO DE  INTERIOR Y POLICÍA,2,POLICIA NACIONAL,2,INSTITUTO POLICIAL DE EDUCACION SUPERIOR
202,MINISTERIO DE  INTERIOR Y POLICÍA,2,POLICIA NACIONAL,4,DIRECCION CENTRAL  DE  POLICIA DE TURISMO
202,MINISTERIO DE  INTERIOR Y POLICÍA,2,POLICIA NACIONAL,5,DIRECCION GENERAL DE SEGURIDAD DE TRANSITO Y TRANSPORTE TERRESTRE (DIGESETT)
202,MINISTERIO DE  INTERIOR Y POLICÍA,2,POLICIA NACIONAL,7,DIRECCION GENERAL DE LA RESERVA DE LA POLICIA NACIONAL
202,MINISTERIO DE  INTERIOR Y POLICÍA,2,POLICIA NACIONAL,8,HOSPITAL GENERAL DOCENTE DE LA POLICIA NACIONAL
202,MINISTERIO DE  INTERIOR Y POLICÍA,2,POLICIA NACIONAL,9,COMITÉ DE RETIRO DE LA POLICIA NACIONAL
203,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA,1,MINISTERIO DE DEFENSA
