Cod_Capitulo,Capitulo,Cod_SubCapitulo,SubCapitulo,Cod_Unidad_Ejecutora,Unidad_Ejecutora
403,TRIBUNAL CONSTITUCIONAL,1,TRIBUNAL CONSTITUCIONAL,1,TRIBUNAL CONSTITUCIONAL
404,DEFENSOR DEL PUEBLO,1,DEFENSOR DEL PUEBLO,1,DEFENSOR DEL PUEBLO
405,TRIBUNAL SUPERIOR  ELECTORAL ( TSE),1,TRIBUNAL SUPERIOR  ELECTORAL ( TSE),1,TRIBUNAL SUPERIOR  ELECTORAL TSE
406,OFICINA NACIONAL DE DEFENSA PUBLICA,1,OFICINA NACIONAL DE DEFENSA PUBLICA,1,OFICINA NACIONAL DE DEFENSA PUBLICA
998,ADMINISTRACION DE DEUDA PUBLICA Y ACTIVOS FINANCIEROS,1,DEUDA PUBLICA Y OTRAS OPERACIONES FINANCIERAS,1,MINISTERIO  DE HACIENDA (DEUDA PUBLICA)
999,ADMINISTRACION DE OBLIGACIONES DEL TESORO NACIONAL,1,ADM. DE OBLIGACIONES DEL TESORO,1,MINISTERIO DE HACIENDA (OBLIGACIONES DEL TESORO)
5102,CENTRO DE EXPORTACIONES E INVERSIONES DE LA REP. DOM.,1,CENTRO DE EXPORTACION E INVERSION DE LA REPUBLICA DOMINICANA,1,CENTRO DE EXPORTACION E INVERSION DE LA REPUBLICA DOMINICANA
5103,CONSEJO NACIONAL DE POBLACIÓN Y FAMILIA,1,CONSEJO NACIONAL DE POBLACION Y FAMILIA,1,CONSEJO NACIONAL DE POBLACION Y FAMILIA
5104,DEPARTAMENTO AEROPORTUARIO,1,DEPARTAMENTO AEROPORTUARIO,1,DEPARTAMENTO AEROPORTUARIO
5109,DEFENSA CIVIL,1,DEFENSA CIVIL,1,DEFENSA CIVIL
5111,INSTITUTO AGRARIO DOMINICANO,1,INSTITUTO AGRARIO DOMINICANO,1,INSTITUTO AGRARIO DOMINICANO
5112,INSTITUTO AZUCARERO DOMINICANO,1,INSTITUTO AZUCARERO DOMINICANO,1,INSTITUTO AZUCARERO DOMINICANO
5118,INSTITUTO NACIONAL DE RECURSOS HIDRAÚLICOS (INDRHI),1,INSTITUTO NACIONAL DE RECURSOS HIDRAULICOS -INDRHI-,1,INSTITUTO NACIONAL DE RECURSOS HIDRAULICOS -INDRHI-
5119,INSTITUTO PARA EL DESARROLLO DEL SUROESTE,1,INSTITUTO PARA EL DESARROLLO DEL SUROESTE -INDESUR-,1,INSTITUTO PARA EL DESARROLLO DEL SUROESTE -INDESUR-
5120,JARDÍN BOTÁNICO,1,JARDIN BOTANICO NACIONAL,1,JARDIN BOTANICO NACIONAL
5121,LIGA MUNICIPAL DOMINICANA,1,LIGA MUNICIPAL DOMINICANA,1,LIGA MUNICIPAL DOMINICANA
5127,SUPERINTENDENCIA DE SEGUROS,1,SUPERINTENDENCIA DE SEGUROS,1,SUPERINTENDENCIA DE SEGUROS
5128,UNIVERSIDAD AUTÓNOMA DE SANTO DOMINGO,1,UNIVERSIDAD AUTONOMA DE SANTO DOMINGO,1,UNIVERSIDAD AUTONOMA DE SANTO DOMINGO
5130,PARQUE ZOOLÓGICO NACIONAL,1,PARQUE ZOOLOGICO NACIONAL,1,PARQUE ZOOLOGICO NACIONAL
5131,INSTITUTO DOMINICANO DE LAS TELECOMUNICACIONES,1,INSTITUTO DOMINICANO DE LA TELECOMUNICACIONES,1,INSTITUTO DOMINICANO DE LA TELECOMUNICACIONES
5132,INSTITUTO DOMINICANO DE INVESTIGACIONES AGROPECUARIAS Y FORESTALES,1,INSTITUTO DOMINICANO DE INVESTIGACIONES AGROPECUARIAS Y FORESTALES,1,INSTITUTO DOMINICANO DE INVESTIGACIONES AGROPECUARIAS Y FORESTALES
5133,MUSEO DE HISTORIA NATURAL,1,MUSEO DE HISTORIA NATURAL,1,MUSEO DE HISTORIA NATURAL
5134,ACUARIO NACIONAL,1,ACUARIO NACIONAL,1,ACUARIO NACIONAL
5135,OFICINA NACIONAL DE PROPIEDAD INDUSTRIAL,1,OFICINA NACIONAL DE LA PROPIEDAD INDUSTRIAL,1,OFICINA NACIONAL DE LA PROPIEDAD INDUSTRIAL
5136,INSTITUTO DOMINICANO DEL CAFÉ,1,INSTITUTO DOMINICANO DEL CAFÉ,1,INSTITUTO DOMINICANO DEL CAFÉ
5137,INSTITUTO DUARTIANO,1,INSTITUTO DUARTIANO,1,INSTITUTO DUARTIANO
5138,COMISIÓN NACIONAL DE ENERGÍA,1,COMISION NACIONAL DE ENERGIA,1,COMISION NACIONAL DE ENERGIA
5139,SUPERINTENDENCIA DE ELECTRICIDAD,1,SUPERINTENDENCIA DE ELECTRICIDAD,1,SUPERINTENDENCIA DE ELECTRICIDAD
5140,INSTITUTO DEL TABACO DE LA REPÚBLICA DOMINICANA,1,INSTITUTO DEL TABACO DE LA REPÚBLICA DOMINICANA,1,INSTITUTO DEL TABACO DE LA REPÚBLICA DOMINICANA
5142,FONDO PATRIMONIAL DE LAS EMPRESAS REFORMADAS,1,FONDO PATRIMONIAL DE EMPRESAS REFORMADAS,1,FONDO PATRIMONIAL DE EMPRESAS REFORMADAS
5143,INSTITUTO DE DESARROLLO Y CRÉDITO COOPERATIVO,1,INSTITUTO DE DESARROLLO Y CREDITO COOPERATIVO,1,INSTITUTO DE DESARROLLO Y CREDITO COOPERATIVO
5144,FONDO ESPECIAL PARA EL DESARROLLO AGROPECUARIO,1,FONDO ESPECIAL PARA EL DESARROLLO AGROPECUARIO,1,FONDO ESPECIAL PARA EL DESARROLLO AGROPECUARIO
5147,INSTITUTO NACIONAL DE LA UVA,1,INSTITUTO NACIONAL DE LA UVA,1,INSTITUTO NACIONAL DE LA UVA
5150,CONSEJO NACIONAL DE ZONAS FRANCAS,1,CONSEJO NACIONAL DE ZONAS FRANCAS,1,Consejo Nacional de Zonas Francas
5151,CONSEJO NACIONAL PARA LA NIÑEZ Y LA ADOLESCENCIA,1,CONSEJO NACIONAL PARA LA NIÑEZ Y LA ADOLESCENCIA,1,CONSEJO NACIONAL PARA LA NIÑEZ Y LA ADOLESCENCIA
5154,INSTITUTO DE INNOVACION EN BIOTECNOLOGIA E INDUSTRIAL (IIBI),1,INSTITUTO NACIONAL DE INNOVACION EN BIOTECNOLOGIA E INDUSTRIA,1,INSTITUTO  DE INNOVACION EN BIOTECNOLOGIA E INDUSTRIA
5155,INSTITUTO DE FORMACIÓN TÉCNICO PROFESIONAL (INFOTEP),1,INSTITUTO NACIONAL DE FORMACION TECNICO PROFESIONAL - INFOTEP,1,INSTITUTO NACIONAL DE FORMACION TECNICO PROFESIONAL - INFOTEP
5157,CORPORACION DOMICANA DE EMPRESAS ESTATALES (CORDE,1,CORPORACION DOMICANA DE EMPRESAS ESTATALES (CORDE),1,CORPORACION DOMICANA DE EMPRESAS ESTATALES (CORDE
5158,DIRECCION GENERAL DE ADUANAS,1,DIRECCION GENERAL DE ADUANAS,1,DIRECCION GENERAL DE ADUANAS
5159,DIRECCION GENERAL DE IMPUESTOS INTERNOS,1,DIRECCION GENERAL DE IMPUESTOS INTERNOS,1,DIRECCION GENERAL DE IMPUESTOS INTERNOS
5161,INSTITUTO DE PROTECCION DE LOS DERECHOS AL CONSUMIDOR,1,INSTITUTO NACIONAL DE PROTECCION DE LOS DERECHOS DEL CONSUMIDOR,1,INSTITUTO NACIONAL DE PROTECCION DE LOS DERECHOS DEL CONSUMIDOR
5162,INSTITUTO DOMINICANO DE AVIACION CIVIL,1,INSTITUTO DOMINICANO DE AVIACION CIVIL,1,INSTITUTO DOMINICANO DE AVIACION CIVIL
5163,CONSEJO DOMINICANO DE PESCA Y ACUICULTURA,1,CONSEJO DOMINICANO DE PESCA Y ACUICULTURA,1,CONSEJO DOMINICANO DE PESCA Y ACUICULTURA
5165,COMISION REGULADORA DE PRACTICAS DESLEALES,1,COMISION REGULADORA DE PRACTICAS DESLEALES,1,COMISION REGULADORA DE PRACTICAS DESLEALES EN EL COMERCIO
5166,COMISION NACIONAL DE DEFENSA DE LA COMPETENCIA,1,COMISION NACIONAL DE DEFENSA DE LA COMPETENCIA,1,COMISION NACIONAL  DE DEFENSA DE LA COMPETENCIA
5168,ARCHIVO GENERAL DE LA NACIÓN,1,ARCHIVO GENERAL DE LA NACION,1,ARCHIVO GENERAL DE LA NACION
5169,DIRECCIÓN GENERAL DE CINE (DGCINE),1,DIRECCION GENERAL DE CINE (DGCINE),1,DIRECCION GENERAL DE CINE (DGCINE)
5171,INSTITUTO DOMINICANO PARA LA CALIDAD (INDOCAL),1,INSTITUTO DOMINICANO PARA LA CALIDAD (INDOCAL),1,INSTITUTO DOMINICANO PARA LA CALIDAD (INDOCAL)
5172,ORGANISMO DOMINICANO DE ACREDITACION (ODAC),1,ORGANISMO DOMINICANO DE ACREDITACION (ODAC),1,ORGANISMO DOMINICANO DE ACREDITACION
5174,MERCADOS DOMINICANOS DE ABASTO AGROPECUARIO,1,MERCADOS DOMINICANOS DE ABASTO AGROPECUARIO,1,Mercados Dominicanos de Abasto Agropecuario
5175,CONSEJO NACIONAL DE COMPETITIVIDAD,1,CONSEJO NACIONAL DE COMPETITIVIDAD,1,CONSEJO NACIONAL DE COMPETITIVIDAD
5176,CONSEJO NACIONAL DE DISCAPACIDAD (CONADIS),1,CONSEJO NACIONAL DE DISCAPACIDAD (CONADIS),1,CONSEJO NACIONAL DE DISCAPACITADOS (CONADIS)
5177,CONSEJO NAC. DE INVESTIGACIONES AGROPECUARIAS Y FORESTALES (CONIAF),1,CONSEJO NACIONAL DE INVESTIGACIONES AGROPECUARIAS Y FORESTALES (CONIAF,1,CONSEJO NACIONAL DE INVESTIGACIONES AGROPECUARIAS Y FORESTALES (CONIAF)
5178,FONDO NACIONAL PARA EL MEDIO AMBIENTE Y RECURSOS NATURALES,1,FONDO NACIONAL PARA EL MEDIO AMBIENTE Y RECURSOS NATURALES,1,FONDO NACIONAL PARA EL MEDIO AMBIENTE Y RECURSOS NATURALES
5179,SERVICIO GEOLOGICO NACIONAL,1,SERVICIO GEOLOGICO NACIONAL,1,SERVICIO GEOLOGICO NACIONAL
5180,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,1,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,1,DIRECCIÓN CENTRAL DEL SERVICIO NACIONAL DE SALUD
5180,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,1,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,2,HOSPITAL GENERAL DR. VINICIO CALVENTI
5180,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,1,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,3,HOSPITAL GENERAL DE ESPECIALIDADES DR. NELSON ASTACIO
5180,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,1,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,4,HOSPITAL REGIONAL DR. MARCELINO VELEZ SANTANA
5180,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,1,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,5,HOSPITAL TRAUMATOLOGICO QUIRURGICO PROFESOR JUAN BOSCH
5180,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,1,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,6,HOSPITAL TRAUMATOLOGICO DR. NEY ARIAS LORA
5180,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,1,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,7,INSTITUTO NACIONAL DEL CANCER ROSA EMILIA SANCHEZ PEREZ DE TAVAREZ
5180,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,1,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,8,"HOSPITAL PEDIATRICO DR. HUGO MENDOZA, CIUDAD DE LA SALUD"
5180,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,1,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,9,"HOSPITAL MATERNO DR. REYNALDO ALMANZAR, CIUDAD DE LA SALUD"
5180,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,1,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,10,CENTRO CARDIO-NEURO OFTALMOLÓGICO Y DE TRASPLANTE (CECANOT)
5180,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,1,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,11,CENTRO DE EDUCACIÓN MÉDICA DE AMISTAD DOMINICO-JAPONÉS (CEMADOJA)
5180,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,1,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,12,HOSPITAL GENERAL Y DE ESPECIALIDADES NUESTRA SRA. DE LA ALTAGRACIA
5180,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,1,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,13,CIUDAD SANITARIA LUIS EDUARDO AYBAR
5180,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,1,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,14,HOSPITAL MATERNO-INFANTIL SAN LORENZO DE LOS MINA
5180,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,1,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,15,HOSPITAL UNIVERSITARIO MATERNIDAD NUESTRA SEÑORA DE LA ALTAGRACIA
5180,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,1,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,16,DIRECCIÓN DE SERVICIOS DE ATENCIÓN A EMERGENCIAS EXTRAHOSPITALARIAS
5180,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,1,DIRECCION CENTRAL DEL SERVICIO NACIONAL DE SALUD,17,HOSPITAL GENERAL DE ESPECIALIDADES DOCTOR MARIO TOLENTINO DIPP
5181,INSTITUTO GEOGRÁFICO NACIONAL JOSÉ JOAQUÍN HUNGRÍA MORELL,1,INSTITUTO GEOGRÁFICO NACIONAL JOSÉ JOAQUÍN HUNGRÍA MORELL,1,INSTITUTO GEOGRÁFICO NACIONAL JOSÉ JOAQUÍN HUNGRÍA MORELL
5182,INSTITUTO NACIONAL DE TRÁNSITO Y TRANSPORTE TERRESTRE,1,INSTITUTO NACIONAL DE TRÁNSITO Y TRANSPORTE TERRESTRE,1,INSTITUTO NACIONAL DE TRÁNSITO Y TRANSPORTE TERRESTRE
5183,UNIDAD DE ANÁLISIS FINANCIERO (UAF),1,UNIDAD DE ANÁLISIS FINANCIERO (UAF),1,UNIDAD DE ANÁLISIS FINANCIERO (UAF)
5184,DIRECCIÓN GENERAL DE ALIANZAS PÚBLICO-PRIVADAS,1,DIRECCIÓN GENERAL DE ALIANZAS PÚBLICO-PRIVADAS,1,DIRECCIÓN GENERAL DE ALIANZAS PÚBLICO-PRIVADAS
5186,"INSTITUTO PARA EL FOMENTO, ACCESO Y GARANTIA PARA MI CASA (INFAMICASA)",1,"INSTITUTO PARA EL FOMENTO, ACCESO Y GARANTIA PARA MI CASA (INFAMICASA)",1,"INSTITUTO PARA EL FOMENTO, ACCESO Y  GARANTÍA PARA MI CASA (INFAMICASA)"
5187,DIRECCIÓN GENERAL DE RIESGOS AGROPECUARIOS,1,DIRECCIÓN GENERAL DE RIESGOS AGROPECUARIOS,1,DIRECCIÓN GENERAL DE RIESGOS AGROPECUARIOS
5188,INSTITUTO NACIONAL DE ATENCIÓN INTEGRAL A LA PRIMERA INFANCIA (INAIPI),1,INSTITUTO NACIONAL DE ATENCIÓN INTEGRAL A LA PRIMERA INFANCIA (INAIPI),1,INSTITUTO NACIONAL DE ATENCIÓN INTEGRAL A LA PRIMERA INFANCIA (INAIPI)
5189,DIRECCION GENERAL DE MECENAZGO (DGM),1,DIRECCION GENERAL DE MECENAZGO (DGM),1,DIRECCION GENERAL DE MECENAZGO (DGM)
5190,INSTITUTO NACIONAL DE COORDINACIÓN DE TRASPLANTE (INCORT),1,INSTITUTO NACIONAL DE COORDINACIÓN DE TRASPLANTE (INCORT),1,INSTITUTO NACIONAL DE COORDINACIÓN DE TRASPLANTE (INCORT)
5191,"INSTITUTO NACIONAL DE CUSTODIA Y ADMINISTRACION DE BIENES INCAUTADOS, DECOMISADOS Y EN EXTINCION DE DOMINIO (INCABIDE)",1,"INSTITUTO NACIONAL DE CUSTODIA Y ADMINISTRACION DE BIENES INCAUTADOS, DECOMISADOS Y EN EXTINCION DE DOMINIO (INCABIDE)",1,"INSTITUTO NACIONAL DE CUSTODIA Y ADMINISTRACION DE BIENES INCAUTADOS, DECOMISADOS Y EN EXTINCION DE DOMINIO (INCABIDE)"
5193,INSTITUTO DOMINICANO DE METEOROLOGÍA (INDOMET),1,INSTITUTO DOMINICANO DE METEOROLOGÍA (INDOMET),1,INSTITUTO DOMINICANO DE METEOROLOGÍA (INDOMET)
5202,INSTITUTO DE AUXILIOS,1,INSTITUTO DE AUXILIOS,1,INSTITUTO DE AUXILIOS
5205,SUPERINTENDENCIA DE PENSIONES,1,SUPERINTENDENCIA DE PENSIONES,1,SUPERINTENDENCIA DE PENSIONES
5206,SUPERINTENDENCIA DE SALUD Y RIESGO LABORAL,1,SUPERINTENDENCIA DE SALUD Y RIESGO LABORAL,1,SUPERINTENDENCIA DE SALUD Y RIESGO LABORAL
5207,CONSEJO NACIONAL DE SEGURIDAD SOCIAL,1,CONSEJO NACIONAL DE LA SEGURIDAD SOCIAL -CNSS-,1,CONSEJO NACIONAL DE LA SEGURIDAD SOCIAL -CNSS-
5208,SEGURO NACIONAL DE SALUD,1,SEGURO NACIONAL DE SALUD,1,SEGURO NACIONAL DE SALUD
5209,DIRECCIÓN GENERAL DE INFORMACIÓN Y DEFENSA DE LOS AFILIADOS,1,DIRECCIÓN GENERAL DE INFORMACIÓN Y DEFENSA DE LOS AFILIADOS,1,DIRECCIÓN GENERAL DE INFORMACIÓN Y DEFENSA DE LOS AFILIADOS
5210,INSTITUTO DOMINICANO DE PREVENCIÓN Y PROTECCIÓN DE RIESGOS LABORALES,1,INSTITUTO DOMINICANO DE PREVENCIÓN Y PROTECCIÓN DE RIESGOS LABORALES,1,INSTITUTO DOMINICANO DE PREVENCIÓN Y PROTECCIÓN DE RIESGOS LABORALES
5211,TESORERÍA DE LA SEGURIDAD SOCIAL,1,TESORERÍA DE LA SEGURIDAD SOCIAL,1,TESORERÍA DE LA SEGURIDAD SOCIAL
101,CONGRESO NACIONAL,1,CAMARA DE SENADORES,1, SENADO DE LA REPUBLICA
102,CAMARA DE DIPUTADOS,1,CAMARA DE DIPUTADOS,1,CAMARA DE DIPUTADOS
201,PRESIDENCIA DE LA REPÚBLICA,1,PRESIDENCIA DE LA REPUBLICA,1,SECRETARIA ADMINISTRATIVA
201,PRESIDENCIA DE LA REPÚBLICA,1,PRESIDENCIA DE LA REPUBLICA,5,GOBERNACION DEL EDIFICIO GUBERNAMENTAL JUAN PABLO DUARTE
201,PRESIDENCIA DE LA REPÚBLICA,1,PRESIDENCIA DE LA REPUBLICA,9,COMISION PRESIDENCIAL DE DESARROLLO PROVINCIAL
201,PRESIDENCIA DE LA REPÚBLICA,1,PRESIDENCIA DE LA REPUBLICA,10,CONSEJO NAC. PARA EL CAMBIO CLIMATICO Y MEC. DES. LIMPIO
201,PRESIDENCIA DE LA REPÚBLICA,1,PRESIDENCIA DE LA REPUBLICA,12,CONSEJO NACIONAL DE DROGAS
201,PRESIDENCIA DE LA REPÚBLICA,1,PRESIDENCIA DE LA REPUBLICA,14,OFICINA DE CUSTODIA Y ADM. DE LOS BIENES INCAUTADOS Y DECOMISADOS
201,PRESIDENCIA DE LA REPÚBLICA,1,PRESIDENCIA DE LA REPUBLICA,18,COMISION PERMANENTE DE EFEMERIDES PATRIA
201,PRESIDENCIA DE LA REPÚBLICA,1,PRESIDENCIA DE LA REPUBLICA,24,AUTORIDAD NACIONAL DE ASUNTOS MARITIMOS (ANAMAR)
201,PRESIDENCIA DE LA REPÚBLICA,1,PRESIDENCIA DE LA REPUBLICA,29,VICE PRESIDENCIA DE LA REPUBLICA
201,PRESIDENCIA DE LA REPÚBLICA,1,PRESIDENCIA DE LA REPUBLICA,31,DIRECCION DE PRENSA DEL PRESIDENTE
201,PRESIDENCIA DE LA REPÚBLICA,1,PRESIDENCIA DE LA REPUBLICA,32,DIRECCION DE ESTRATEGIA Y COMUNICACION GUBERNAMENTAL
201,PRESIDENCIA DE LA REPÚBLICA,1,PRESIDENCIA DE LA REPUBLICA,33,ECO5RD
201,PRESIDENCIA DE LA REPÚBLICA,1,PRESIDENCIA DE LA REPUBLICA,34,DIRECCIÓN NACIONAL DE CONTROL DE DROGAS (DNCD)
201,PRESIDENCIA DE LA REPÚBLICA,2,GABINETE DE LA POLITICA SOCIAL,1,GABINETE SOCIAL DE LA PRESIDENCIA
201,PRESIDENCIA DE LA REPÚBLICA,2,GABINETE DE LA POLITICA SOCIAL,3,PLAN SOCIAL DE LA PRESIDENCIA
201,PRESIDENCIA DE LA REPÚBLICA,2,GABINETE DE LA POLITICA SOCIAL,4,COMISION PRESIDENCIAL DE DESARROLLO BARRIAL
201,PRESIDENCIA DE LA REPÚBLICA,2,GABINETE DE LA POLITICA SOCIAL,7,PROGRAMA SOLIDARIDAD
201,PRESIDENCIA DE LA REPÚBLICA,2,GABINETE DE LA POLITICA SOCIAL,8,ADMINISTRACION FINANCIERA DE LOS SUBSIDIOS SOCIALES (ADSS)
201,PRESIDENCIA DE LA REPÚBLICA,2,GABINETE DE LA POLITICA SOCIAL,10,OFICINA EJECUTORA DEL CONSEJO NACIONAL DE PERSONAS ENVEJECIENTES
201,PRESIDENCIA DE LA REPÚBLICA,2,GABINETE DE LA POLITICA SOCIAL,14,COMEDORES ECONOMICOS
201,PRESIDENCIA DE LA REPÚBLICA,2,GABINETE DE LA POLITICA SOCIAL,15,DIRECCION GENERAL DE DESARROLLO DE LA COMUNIDAD
201,PRESIDENCIA DE LA REPÚBLICA,2,GABINETE DE LA POLITICA SOCIAL,16,DIRECCION GENERAL DE DESARROLLO FRONTERIZO
201,PRESIDENCIA DE LA REPÚBLICA,6,MINISTERIO DE LA PRESIDENCIA,5,DESARROLLO TERRITORIAL Y DE COMUNIDADES
201,PRESIDENCIA DE LA REPÚBLICA,6,MINISTERIO DE LA PRESIDENCIA,9,DIRECCIÓN GENERAL DE PROGRAMAS ESPECIALES DE LA PRESIDENCIA
202,SEC. DE ESTADO DE INT. Y POL.,1,SECRETARIA DE ESTADO DE INTERIOR Y POLICIA,1,SECRETARIA DE ESTADO DE INTERIOR Y POLICIA
202,SEC. DE ESTADO DE INT. Y POL.,1,SECRETARIA DE ESTADO DE INTERIOR Y POLICIA,2,DIRECCIÓN GENERAL DE MIGRACIÓN
202,SEC. DE ESTADO DE INT. Y POL.,1,SECRETARIA DE ESTADO DE INTERIOR Y POLICIA,3,INSTITUTO NACIONAL DE MIGRACION
202,SEC. DE ESTADO DE INT. Y POL.,1,SECRETARIA DE ESTADO DE INTERIOR Y POLICIA,4,"CUERPO DE BOMBEROS DE SANTO DOMINGO, DISTRITO NACIONAL"
202,SEC. DE ESTADO DE INT. Y POL.,1,SECRETARIA DE ESTADO DE INTERIOR Y POLICIA,5,CUERPO DE BOMBEROS SANTO DOMINGO NORTE
202,SEC. DE ESTADO DE INT. Y POL.,1,SECRETARIA DE ESTADO DE INTERIOR Y POLICIA,6,CUERPO DE BOMBEROS SANTO DOMINGO ESTE
202,SEC. DE ESTADO DE INT. Y POL.,1,SECRETARIA DE ESTADO DE INTERIOR Y POLICIA,7,CUERPO DE BOMBEROS DE SANTO DOMINGO DE BOCA CHICA
202,SEC. DE ESTADO DE INT. Y POL.,1,SECRETARIA DE ESTADO DE INTERIOR Y POLICIA,8,CUERPO DE BOMBEROS DE SANTO DOMINGO DE LOS ALCARRIZOS
202,SEC. DE ESTADO DE INT. Y POL.,1,SECRETARIA DE ESTADO DE INTERIOR Y POLICIA,9,CUERPO DE BOMBEROS DE SANTO DOMINGO DE PEDRO BRAND
202,SEC. DE ESTADO DE INT. Y POL.,1,SECRETARIA DE ESTADO DE INTERIOR Y POLICIA,10,CUERPO DE BOMBEROS DE SANTO DOMINGO OESTE
202,SEC. DE ESTADO DE INT. Y POL.,2,POLICIA NACIONAL,1, POLICIA NACIONAL
202,SEC. DE ESTADO DE INT. Y POL.,2,POLICIA NACIONAL,2,"INSTITUTO ESPECIALIZADO DE CAPACITACION SUPERIOR, P. N."
202,SEC. DE ESTADO DE INT. Y POL.,2,POLICIA NACIONAL,4,SEGURIDAD TURISTICA
202,SEC. DE ESTADO DE INT. Y POL.,2,POLICIA NACIONAL,5,SERVICIOS DE TRANSITO METROPOLITANO
202,SEC. DE ESTADO DE INT. Y POL.,2,POLICIA NACIONAL,7,RESERVA DE LA POLICIA NACIONAL
202,SEC. DE ESTADO DE INT. Y POL.,2,POLICIA NACIONAL,8,HOSPITAL CENTRAL DE LA POLICIA NACIONAL
202,SEC. DE ESTADO DE INT. Y POL.,2,POLICIA NACIONAL,9,JUNTA DE RETIRO DE LA P.N
203,SEC. DE ESTADO DE LAS FF AA,1,SEC. DE ESTADO DE LAS FF AA,1,SECRETARIA DE ESTADO DE LAS FUERZAS ARMADAS
203,SEC. DE ESTADO DE LAS FF AA,1,SEC. DE ESTADO DE LAS FF AA,2,DIRECCION GENERAL DE ESCUELAS VOCACIONALES
203,SEC. DE ESTADO DE LAS FF AA,1,SEC. DE ESTADO DE LAS FF AA,3,FOMENTO Y PRODUCCION CUNARIA
203,SEC. DE ESTADO DE LAS FF AA,1,SEC. DE ESTADO DE LAS FF AA,4, INSTITUTO DE SEGURIDAD SOCIAL DE LAS FF. AA.
203,SEC. DE ESTADO DE LAS FF AA,1,SEC. DE ESTADO DE LAS FF AA,5,HOSPITAL CENTRAL DE LAS FUERZAS  ARMADAS
203,SEC. DE ESTADO DE LAS FF AA,1,SEC. DE ESTADO DE LAS FF AA,6,INSTITUTO CARTOGRÁFICO MILITAR DE LAS FF. AA.
203,SEC. DE ESTADO DE LAS FF AA,1,SEC. DE ESTADO DE LAS FF AA,7,ESC DE GRAD.DE COM.Y ESTADO MAYOR CONJ.'GRAL DE DIV. GREGORIO LUPERON'
203,SEC. DE ESTADO DE LAS FF AA,1,SEC. DE ESTADO DE LAS FF AA,8,CÍRCULO DEPORTIVO DE LAS FUERZAS ARMADAS Y LA POLICIA NACIONAL
203,SEC. DE ESTADO DE LAS FF AA,1,SEC. DE ESTADO DE LAS FF AA,9,INSTITUTO MILITAR DE LOS DERECHOS HUMANOS
203,SEC. DE ESTADO DE LAS FF AA,1,SEC. DE ESTADO DE LAS FF AA,10,INSTITUTO DE ALTOS ESTUDIOS PARA LA DEFENSA Y SEGURIDAD NACIONAL
203,SEC. DE ESTADO DE LAS FF AA,1,SEC. DE ESTADO DE LAS FF AA,11,COMISION PERMANENTE PARA LA REFORMA Y MODERNIZACIÓN DE LAS  FF.AA Y P.N.
203,SEC. DE ESTADO DE LAS FF AA,1,SEC. DE ESTADO DE LAS FF AA,12,SEGURIDAD REGIÓN FRONTERIZA F. A (SESFRONT)
203,SEC. DE ESTADO DE LAS FF AA,1,SEC. DE ESTADO DE LAS FF AA,14, DIRECCION GENERAL DE LAS RESERVAS DE LAS FF. AA. Y P. N.
203,SEC. DE ESTADO DE LAS FF AA,1,SEC. DE ESTADO DE LAS FF AA,15,CUERPOS ESPECIALIZADOS DE SEGURIDAD PORTUARIA
